Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
schrämen,schräme,schrämst,schrämt,schrämte,geschrämt,schrämte,schräm,schrämt,haben
schrammeln,schrammle,schrammelst,schrammelt,schrammelte,geschrammelt,schrammelte,schrammel,schrammelt,haben
schrammen,schramme,schrammst,schrammt,schrammte,geschrammt,schrammte,schramm,schrammt,haben
schrauben,schraube,schraubst,schraubt,schraubte,geschraubt,schraubte,schraube,schraubt,haben
schrecken,schrecke,schreckst,schreckt,schreckte,geschreckt,schreckte,schrecke,schreckt,haben
schreddern,schreddere,schredderst,schreddert,schredderte,geschreddert,schredderte,schredder,schreddert,haben
schreiben,schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,haben
schreien,schreie,schreist,schreit,schrie,geschrien,schrie,schreie,schreit,haben
schreinern,schreinere,schreinerst,schreinert,schreinerte,geschreinert,schreinerte,schreinere,schreinert,haben
schreiten,schreite,schreitest,schreitet,schritt,geschritten,schritte,schreite,schreitet,sein
schriftstellern,schriftstellere,schriftstellerst,schriftstellert,schriftstellerte,geschriftstellert,schriftstellerte,schriftsteller,schriftstellert,haben
schrillen,schrille,schrillst,schrillt,schrillte,geschrillt,schrillte,schrille,schrillt,haben
schröpfen,schröpfe,schröpfst,schröpft,schröpfte,geschröpft,schröpfte,schröpf,schröpft,haben
schrotten,schrotte,schrottest,schrottet,schrottete,geschrottet,schrottete,schrotte,schrottet,haben
schrubben,schrubbe,schrubbst,schrubbt,schrubbte,geschrubbt,schrubbte,schrubb,schrubbt,haben
schrumpeln,schrumpele,schrumpelst,schrumpelt,schrumpelte,geschrumpelt,schrumpelte,schrumpel,schrumpelt,sein
schrumpfen,schrumpfe,schrumpfst,schrumpft,schrumpfte,geschrumpft,schrumpfte,schrumpf,schrumpft,sein
schubbern,schubbere,schubberst,schubbert,schubberte,geschubbert,schubberte,schubber,schubbert,haben
schubladisieren,schubladisiere,schubladisierst,schubladisiert,schubladisierte,schubladisiert,schubladisierte,schubladisier,schubladisiert,haben
schubsen,schubse,schubst,schubst,schubste,geschubst,schubste,schubs,schubst,haben
schucken,schucke,schuckst,schuckt,schuckte,geschuckt,schuckte,schuck,schuckt,haben
schuften,schufte,schuftest,schuftet,schuftete,geschuftet,schuftete,schufte,schuftet,haben
schulden,schulde,schuldest,schuldet,schuldete,geschuldet,schuldete,schuld,schuldet,haben
schulen,schule,schulst,schult,schulte,geschult,schulte,schule,schult,haben
schulstageln,stagle Schule,stagelst Schule,stagelt Schule,stagelte Schule,Schule gestagelt,stagelte Schule,stagle Schule,stagelt Schule,haben
schultern,schultere,schulterst,schultert,schulterte,geschultert,schulterte,schultere,schultert,haben
schummeln,schummle,schummelst,schummelt,schummelte,geschummelt,schummelte,schummle,schummelt,haben
schunkeln,schunkle,schunkelst,schunkelt,schunkelte,geschunkelt,schunkelte,schunkle,schunkelt,haben
schuppen,schuppe,schuppst,schuppt,schuppte,geschuppt,schuppte,schupp,schuppt,haben
schupsen,schupse,schupst,schupst,schupste,geschupst,schupste,schups,schupst,haben
schüren,schüre,schürst,schürt,schürte,geschürt,schürte,schüre,schürt,haben
schürfen,schürfe,schürfst,schürft,schürfte,geschürft,schürfte,schürf,schürft,haben
schurigeln,schurigele,schurigelst,schurigelt,schurigelte,geschurigelt,schurigelte,schurigele,schurigelt,haben
schürzen,schürze,schürzt,schürzt,schürzte,geschürzt,schürzte,schürz,schürzt,haben
schustern,schustere,schusterst,schustert,schusterte,geschustert,schusterte,schuster,schustert,haben
schütteln,schüttle,schüttelst,schüttelt,schüttelte,geschüttelt,schüttelte,schüttle,schüttelt,haben
schütten,schütte,schüttest,schüttet,schüttete,geschüttet,schüttete,schütt,schüttet,haben
schützen,schütze,schützt,schützt,schützte,geschützt,schützte,schütze,schützt,haben
schwabbeln,schwabbele,schwabbelst,schwabbelt,schwabbelte,geschwabbelt,schwabbelte,schwabbel,schwabbelt,haben
schwabbern,schwabbere,schwabberst,schwabbert,schwabberte,geschwabbert,schwabberte,schwabber,schwabbert,haben
schwäbeln,schwäble,schwäbelst,schwäbelt,schwäbelte,geschwäbelt,schwäbelte,schwäble,schwäbelt,haben
schwächeln,schwächle,schwächelst,schwächelt,schwächelte,geschwächelt,schwächelte,schwächle,schwächelt,haben
schwächen,schwäche,schwächst,schwächt,schwächte,geschwächt,schwächte,schwäch,schwächt,haben
schwadronieren,schwadroniere,schwadronierst,schwadroniert,schwadronierte,schwadroniert,schwadronierte,schwadroniere,schwadroniert,haben
schwafeln,schwafele,schwafelst,schwafelt,schwafelte,geschwafelt,schwafelte,schwafle,schwafelt,haben
schwalchen,schwalche,schwalchst,schwalcht,schwalchte,geschwalcht,schwalchte,schwalch,schwalcht,haben
schwanen,—,—,schwant,schwante,geschwant,schwante,—,—,haben
schwängern,schwängere,schwängerst,schwängert,schwängerte,geschwängert,schwängerte,schwängere,schwängert,haben
schwanken,schwanke,schwankst,schwankt,schwankte,geschwankt,schwankte,schwank,schwankt,sein
schwänzeln,schwänzle,schwänzelst,schwänzelt,schwänzelte,geschwänzelt,schwänzelte,schwänzel,schwänzelt,haben
schwänzen,schwänze,schwänzt,schwänzt,schwänzte,geschwänzt,schwänzte,schwänze,schwänzt,haben
