Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben
aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,haben
abaasen,aase ab,aast ab,aast ab,aaste ab,abgeaast,aaste ab,aase ab,aast ab,haben
abacheln,achele ab,achelst ab,achelt ab,achelte ab,abgeachelt,achelte ab,achele ab,achelt ab,haben
abachen,ache ab,achst ab,acht ab,achte ab,abgeacht,achte ab,ach ab,acht ab,haben
abächzen,ächze ab,ächzt ab,ächzt ab,ächzte ab,abgeächzt,ächzte ab,ächz ab,ächzt ab,haben
abackern,ackere ab,ackerst ab,ackert ab,ackerte ab,abgeackert,ackerte ab,ackere ab,ackert ab,haben
abaissieren,abaissiere,abaissierst,abaissiert,abaissierte,abaissiert,abaissierte,abaissiere,abaissiert,haben
abälardisieren,abälardisiere,abälardisierst,abälardisiert,abälardisierte,abälardisiert,abälardisierte,abälardisier,abälardisiert,haben
abalienieren,abalieniere,abalienierst,abalieniert,abalienierte,abalieniert,abalienierte,abalieniere,abalieniert,haben
abändern,ändre ab,änderst ab,ändert ab,änderte ab,abgeändert,änderte ab,ändre ab,ändert ab,haben
abandonnieren,abandonniere,abandonnierst,abandonniert,abandonnierte,abandonniert,abandonnierte,abandonniere,abandonniert,haben
abängstigen,ängstige ab,ängstigst ab,ängstigt ab,ängstigte ab,abgeängstigt,ängstigte ab,ängstige ab,ängstigt ab,haben
abarbeiten,arbeite ab,arbeitest ab,arbeitet ab,arbeitete ab,abgearbeitet,arbeitete ab,arbeite ab,arbeitet ab,haben
abärgern,ärgere ab,ärgerst ab,ärgert ab,ärgerte ab,abgeärgert,ärgerte ab,ärgere ab,ärgert ab,haben
abarten,arte ab,artest ab,artet ab,artete ab,abgeartet,artete ab,arte ab,artet ab,sein
abäsen,—,—,äst ab,äste ab,abgeäst,äste ab,—,—,haben
abasten,aste ab,astest ab,astet ab,astete ab,abgeastet,astete ab,aste ab,astet ab,haben
abästen,äste ab,ästest ab,ästet ab,ästete ab,abgeästet,ästete ab,äst ab,ästet ab,haben
abatmen,atme ab,atmest ab,atmet ab,atmete ab,abgeatmet,atmete ab,atme ab,atmet ab,haben
abätzen,ätze ab,ätzt ab,ätzt ab,ätzte ab,abgeätzt,ätzte ab,ätz ab,ätzt ab,haben
abbacken,backe ab,backst ab,backt ab,buk ab,abgebacken,büke ab,back ab,backt ab,haben
abbaden,bade ab,badest ab,badet ab,badete ab,abgebadet,badete ab,bade ab,badet ab,haben
abbaggern,baggere ab,baggerst ab,baggert ab,baggerte ab,abgebaggert,baggerte ab,bagger ab,baggert ab,haben
abbaken,bake ab,bakst ab,bakt ab,bakte ab,abgebakt,bakte ab,bake ab,bakt ab,haben
abbalgen,balge ab,balgst ab,balgt ab,balgte ab,abgebalgt,balgte ab,balg ab,balgt ab,haben
abballern,ballere ab,ballerst ab,ballert ab,ballerte ab,abgeballert,ballerte ab,ballere ab,ballert ab,haben
abbalzen,balze ab,balzt ab,balzt ab,balzte ab,abgebalzt,balzte ab,balz ab,balzt ab,haben
abbangen,bange ab,bangst ab,bangt ab,bangte ab,abgebangt,bangte ab,bang ab,bangt ab,haben
abbasten,baste ab,bastest ab,bastet ab,bastete ab,abgebastet,bastete ab,baste ab,bastet ab,haben
abbauen,baue ab,baust ab,baut ab,baute ab,abgebaut,baute ab,baue ab,bauet ab,haben
abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben
abbedingen,bedinge ab,bedingst ab,bedingt ab,bedang ab,abbedingt,bedänge ab,beding ab,bedingt ab,haben
abbeereln,beerel ab,beerelst ab,beerelt ab,beerelte ab,abgebeerelt,beerelte ab,beerel ab,beerelt ab,haben
abbeeren,beere ab,beerst ab,beert ab,beerte ab,abgebeert,beerte ab,beer ab,beert ab,haben
abbefehlen,befehle ab,befiehlst ab,befiehlt ab,befahl ab,abbefohlen,beföhle ab,befiehl ab,befiehlt ab,haben
abbegehren,begehre ab,begehrst ab,begehrt ab,begehrte ab,abbegehrt,begehrte ab,begehr ab,begehrt ab,haben
abbehalten,behalte ab,behältst ab,behält ab,behielt ab,abbehalten,behielte ab,behalte ab,behaltet ab,haben
abbeißen,beiße ab,beißt ab,beißt ab,biss ab,abgebissen,bisse ab,beiß ab,beißt ab,haben
abbeizen,beize ab,beizt ab,beizt ab,beizte ab,abgebeizt,beizte ab,beiz ab,beizt ab,haben
abbekommen,bekomme ab,bekommst ab,bekommt ab,bekam ab,abbekommen,bekäme ab,bekomm ab,bekommt ab,haben
abberufen,berufe ab,berufst ab,beruft ab,berief ab,abberufen,beriefe ab,beruf ab,beruft ab,haben
abbestellen,bestelle ab,bestellst ab,bestellt ab,bestellte ab,abbestellt,bestellte ab,bestell ab,bestellt ab,haben
abbeten,bete ab,betest ab,betet ab,betete ab,abgebetet,betete ab,bet ab,betet ab,haben
abbetteln,bettele ab,bettelst ab,bettelt ab,bettelte ab,abgebettelt,bettelte ab,bettele ab,bettelt ab,haben
abbeuteln,beutele ab,beutelst ab,beutelt ab,beutelte ab,abgebeutelt,beutelte ab,beutele ab,beutelt ab,haben
abbezahlen,bezahle ab,bezahlst ab,bezahlt ab,bezahlte ab,abbezahlt,bezahlte ab,bezahl ab,bezahlt ab,haben
abbiegen,biege ab,biegst ab,biegt ab,bog ab,abgebogen,böge ab,bieg ab,biegt ab,haben
abbilden,bilde ab,bildest ab,bildet ab,bildete ab,abgebildet,bildete ab,bild ab,bildet ab,haben
abbimsen,bimse ab,bimst ab,bimst ab,bimste ab,abgebimst,bimste ab,bims ab,bimst ab,haben
abbinden,binde ab,bindest ab,bindet ab,band ab,abgebunden,bände ab,bind ab,bindet ab,haben
abbitten,bitte ab,bittest ab,bittet ab,bat ab,abgebeten,bäte ab,bitte ab,bittet ab,haben
abblasen,blase ab,bläst ab,bläst ab,blies ab,abgeblasen,bliese ab,blas ab,blast ab,haben
abblassen,blasse ab,blasst ab,blasst ab,blasste ab,abgeblasst,blasste ab,blass ab,blasst ab,sein
abblättern,blättre ab,blätterst ab,blättert ab,blätterte ab,abgeblättert,blätterte ab,blättre ab,blättert ab,sein
abbleiben,bleibe ab,bleibst ab,bleibt ab,blieb ab,abgeblieben,bliebe ab,bleibe ab,bleibt ab,sein
abbleichen,bleiche ab,bleichst ab,bleicht ab,bleichte ab,abgebleicht,bleichte ab,bleiche ab,bleicht ab,sein
abblenden,blende ab,blendest ab,blendet ab,blendete ab,abgeblendet,blendete ab,blende ab,blendet ab,haben
abblitzen,blitze ab,blitzt ab,blitzt ab,blitzte ab,abgeblitzt,blitzte ab,blitze ab,blitzt ab,sein
abblocken,blocke ab,blockst ab,blockt ab,blockte ab,abgeblockt,blockte ab,block ab,blockt ab,haben
abblühen,blühe ab,blühst ab,blüht ab,blühte ab,abgeblüht,blühte ab,blühe ab,blüht ab,haben
abböschen,bösche ab,böschst ab,böscht ab,böschte ab,abgeböscht,böschte ab,bösche ab,böscht ab,haben
abbraten,brate ab,brätst ab,brät ab,briet ab,abgebraten,briete ab,brat ab,bratet ab,haben
abbrauchen,brauche ab,brauchst ab,braucht ab,brauchte ab,abgebraucht,brauchte ab,brauch ab,braucht ab,haben
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben
abbremsen,bremse ab,bremst ab,bremst ab,bremste ab,abgebremst,bremste ab,brems ab,bremst ab,haben
abbrennen,brenne ab,brennst ab,brennt ab,brannte ab,abgebrannt,brennte ab,brenn ab,brennt ab,haben
abbreviieren,abbreviiere,abbreviierst,abbreviiert,abbreviierte,abbreviiert,abbreviierte,abbreviier,abbreviiert,haben
abbringen,bringe ab,bringst ab,bringt ab,brachte ab,abgebracht,brächte ab,bring ab,bringt ab,haben
abbröckeln,bröckele ab,bröckelst ab,bröckelt ab,bröckelte ab,abgebröckelt,bröckelte ab,bröckele ab,bröckelt ab,haben
abbrocken,brocke ab,brockst ab,brockt ab,brockte ab,abgebrockt,brockte ab,brocke ab,brockt ab,haben
abbröseln,brösele ab,bröselst ab,bröselt ab,bröselte ab,abgebröselt,bröselte ab,brösele ab,bröselt ab,haben
abbrühen,brühe ab,brühst ab,brüht ab,brühte ab,abgebrüht,brühte ab,brüh ab,brüht ab,haben
abbuchen,buche ab,buchst ab,bucht ab,buchte ab,abgebucht,buchte ab,buch ab,bucht ab,haben
abbuffen,buffe ab,buffst ab,bufft ab,buffte ab,abgebufft,buffte ab,buff ab,bufft ab,haben
abbummeln,bummle ab,bummelst ab,bummelt ab,bummelte ab,abgebummelt,bummelte ab,bummele ab,bummelt ab,haben
abbürsten,bürste ab,bürstest ab,bürstet ab,bürstete ab,abgebürstet,bürstete ab,bürst ab,bürstet ab,haben
abbusseln,bussle ab,busselst ab,busselt ab,busselte ab,abgebusselt,busselte ab,bussel ab,busselt ab,haben
abbüßen,büße ab,büßt ab,büßt ab,büßte ab,abgebüßt,büßte ab,büße ab,büßt ab,haben
abcashen,cashe ab,cashst ab,casht ab,cashte ab,abgecasht,cashte ab,cash ab,casht ab,haben
abchangieren,changiere ab,changierst ab,changiert ab,changierte ab,abchangiert,changierte ab,changier ab,changiert ab,haben
abchecken,checke ab,checkst ab,checkt ab,checkte ab,abgecheckt,checkte ab,check ab,checkt ab,haben
abchoppen,choppe ab,choppst ab,choppt ab,choppte ab,abgechoppt,choppte ab,chopp ab,choppt ab,haben
abdämmen,dämme ab,dämmst ab,dämmt ab,dämmte ab,abgedämmt,dämmte ab,dämm ab,dämmt ab,haben
abdampfen,dampfe ab,dampfst ab,dampft ab,dampfte ab,abgedampft,dampfte ab,dampf ab,dampft ab,haben
abdanken,danke ab,dankst ab,dankt ab,dankte ab,abgedankt,dankte ab,danke ab,dankt ab,haben
abdecken,decke ab,deckst ab,deckt ab,deckte ab,abgedeckt,deckte ab,deck ab,deckt ab,haben
abdichten,dichte ab,dichtest ab,dichtet ab,dichtete ab,abgedichtet,dichtete ab,dichte ab,dichtet ab,haben
abdienen,diene ab,dienst ab,dient ab,diente ab,abgedient,diente ab,dien ab,dient ab,haben
abdingen,dinge ab,dingst ab,dingt ab,dingte ab,abgedingt,dingte ab,dinge ab,dingt ab,haben
abdizieren,abdiziere,abdizierst,abdiziert,abdizierte,abdiziert,abdizierte,abdiziere,abdiziert,haben
abdrängen,dränge ab,drängst ab,drängt ab,drängte ab,abgedrängt,drängte ab,dränge ab,drängt ab,haben
abdrehen,drehe ab,drehst ab,dreht ab,drehte ab,abgedreht,drehte ab,dreh ab,dreht ab,haben
abdreschen,dresche ab,drischst ab,drischt ab,drasch ab,abgedroschen,dräsche ab,drisch ab,drescht ab,haben
abdriften,drifte ab,driftest ab,driftet ab,driftete ab,abgedriftet,driftete ab,drift ab,driftet ab,sein
abdrucken,drucke ab,druckst ab,druckt ab,druckte ab,abgedruckt,druckte ab,druck ab,druckt ab,haben
abdrücken,drücke ab,drückst ab,drückt ab,drückte ab,abgedrückt,drückte ab,drück ab,drückt ab,haben
abdunkeln,dunkle ab,dunkelst ab,dunkelt ab,dunkelte ab,abgedunkelt,dunkelte ab,dunkle ab,dunkelt ab,haben
abdüsen,düse ab,düst ab,düst ab,düste ab,abgedüst,düste ab,düse ab,düst ab,sein
abduzieren,abduziere,abduzierst,abduziert,abduzierte,abduziert,abduzierte,abduzier,abduziert,haben
abebben,—,—,ebbt ab,ebbte ab,abgeebbt,ebbte ab,—,—,sein
abecedieren,abecediere,abecedierst,abecediert,abecedierte,abecediert,abecedierte,abecediere,abecediert,haben
abeisen,eise ab,eist ab,eist ab,eiste ab,abgeeist,eiste ab,eis ab,eist ab,haben
abendessen,—,—,—,—,abendgegessen,—,—,—,haben
aberkennen,erkenne ab,erkennst ab,erkennt ab,erkannte ab,aberkannt,erkennte ab,erkenne ab,erkennt ab,haben
abern,abere,aberst,abert,aberte,geabert,aberte,abere,abert,haben
abernten,ernte ab,erntest ab,erntet ab,erntete ab,abgeerntet,erntete ab,ernt ab,erntet ab,haben
aberrieren,aberriere,aberrierst,aberriert,aberrierte,aberriert,aberrierte,aberrier,aberriert,haben
aberziehen,erziehe ab,erziehst ab,erzieht ab,erzog ab,aberzogen,erzöge ab,erzieh ab,erzieht ab,haben
abfackeln,fackele ab,fackelst ab,fackelt ab,fackelte ab,abgefackelt,fackelte ab,fackele ab,fackelt ab,haben
abfahren,fahre ab,fährst ab,fährt ab,fuhr ab,abgefahren,führe ab,fahre ab,fahrt ab,sein
abfallen,falle ab,fällst ab,fällt ab,fiel ab,abgefallen,fiele ab,fall ab,fallt ab,sein
abfälschen,fälsche ab,fälschst ab,fälscht ab,fälschte ab,abgefälscht,fälschte ab,fälsche ab,fälscht ab,haben
abfangen,fange ab,fängst ab,fängt ab,fing ab,abgefangen,finge ab,fange ab,fangt ab,haben
abfärben,färbe ab,färbst ab,färbt ab,färbte ab,abgefärbt,färbte ab,färbe ab,färbt ab,haben
abfasen,fase ab,fast ab,fast ab,faste ab,abgefast,faste ab,fase ab,faset ab,haben
abfassen,fasse ab,fasst ab,fasst ab,fasste ab,abgefasst,fasste ab,fass ab,fasst ab,haben
abfedern,federe ab,federst ab,federt ab,federte ab,abgefedert,federte ab,feder ab,federt ab,haben
abfegen,fege ab,fegst ab,fegt ab,fegte ab,abgefegt,fegte ab,fege ab,fegt ab,haben
abfeiern,feiere ab,feierst ab,feiert ab,feierte ab,abgefeiert,feierte ab,feier ab,feiert ab,haben
abfertigen,fertige ab,fertigst ab,fertigt ab,fertigte ab,abgefertigt,fertigte ab,fertige ab,fertigt ab,haben
abfeuern,feuere ab,feuerst ab,feuert ab,feuerte ab,abgefeuert,feuerte ab,feuere ab,feuert ab,haben
abfieseln,fiesle ab,fieselst ab,fieselt ab,fieselte ab,abgefieselt,fieselte ab,fiesle ab,fieselt ab,haben
abfinden,finde ab,findest ab,findet ab,fand ab,abgefunden,fände ab,finde ab,findet ab,haben
abfingern,fingere ab,fingerst ab,fingert ab,fingerte ab,abgefingert,fingerte ab,fingere ab,fingert ab,haben
abfischen,fische ab,fischst ab,fischt ab,fischte ab,abgefischt,fischte ab,fisch ab,fischt ab,haben
abflachen,flache ab,flachst ab,flacht ab,flachte ab,abgeflacht,flachte ab,flache ab,flacht ab,haben
abflauen,—,—,flaut ab,flaute ab,abgeflaut,flaute ab,—,—,sein
abfliegen,fliege ab,fliegst ab,fliegt ab,flog ab,abgeflogen,flöge ab,fliege ab,fliegt ab,sein
abfließen,fließe ab,fließt ab,fließt ab,floss ab,abgeflossen,flösse ab,fließe ab,fließt ab,sein
abformen,forme ab,formst ab,formt ab,formte ab,abgeformt,formte ab,form ab,formt ab,haben
abfotografieren,fotografiere ab,fotografierst ab,fotografiert ab,fotografierte ab,abfotografiert,fotografierte ab,fotografiere ab,fotografiert ab,haben
abfragen,frage ab,fragst ab,fragt ab,fragte ab,abgefragt,fragte ab,frage ab,fragt ab,haben
abfressen,fresse ab,frisst ab,frisst ab,fraß ab,abgefressen,fräße ab,friss ab,fresst ab,haben
abfrieren,friere ab,frierst ab,friert ab,fror ab,abgefroren,fröre ab,frier ab,friert ab,sein
abfrühstücken,frühstücke ab,frühstückst ab,frühstückt ab,frühstückte ab,abgefrühstückt,frühstückte ab,frühstücke ab,frühstückt ab,haben
abführen,führe ab,führst ab,führt ab,führte ab,abgeführt,führte ab,führ ab,führt ab,haben
abfüllen,fülle ab,füllst ab,füllt ab,füllte ab,abgefüllt,füllte ab,füll ab,füllt ab,haben
abgeben,gebe ab,gibst ab,gibt ab,gab ab,abgegeben,gäbe ab,gib ab,gebt ab,haben
abgehen,gehe ab,gehst ab,geht ab,ging ab,abgegangen,ginge ab,geh ab,geht ab,sein
abgenicken,genicke ab,genickst ab,genickt ab,genickte ab,abgenickt,genickte ab,genicke ab,genickt ab,haben
abgenzern,genzere ab,genzerst ab,genzert ab,genzerte ab,abgegenzert,genzerte ab,genzer ab,genzert ab,haben
abgeraten,gerate ab,gerätst ab,gerät ab,geriet ab,abgeraten,geriete ab,gerate ab,geratet ab,sein
abgewinnen,gewinne ab,gewinnst ab,gewinnt ab,gewann ab,abgewonnen,gewänne ab,gewinn ab,gewinnt ab,haben
abgewöhnen,gewöhne ab,gewöhnst ab,gewöhnt ab,gewöhnte ab,abgewöhnt,gewöhnte ab,gewöhn ab,gewöhnt ab,haben
abgießen,gieße ab,gießt ab,gießt ab,goss ab,abgegossen,gösse ab,gieß ab,gießt ab,haben
abgräbeln,gräbele ab,gräbelst ab,gräbelt ab,gräbelte ab,abgegräbelt,gräbelte ab,gräbele ab,gräbelt ab,sein
abgrenzen,grenze ab,grenzt ab,grenzt ab,grenzte ab,abgegrenzt,grenzte ab,grenze ab,grenzt ab,haben
abhacken,hacke ab,hackst ab,hackt ab,hackte ab,abgehackt,hackte ab,hacke ab,hackt ab,haben
abhaken,hake ab,hakst ab,hakt ab,hakte ab,abgehakt,hakte ab,hak ab,hakt ab,haben
abhalten,halte ab,hältst ab,hält ab,hielt ab,abgehalten,hielte ab,halte ab,haltet ab,haben
abhandeln,handele ab,handelst ab,handelt ab,handelte ab,abgehandelt,handelte ab,handel ab,handelt ab,haben
abhandenkommen,komme abhanden,kommst abhanden,kommt abhanden,kam abhanden,abhandengekommen,käme abhanden,komme abhanden,kommt abhanden,sein
abhängen,hänge ab,hängst ab,hängt ab,hing ab,abgehangen,hinge ab,häng ab,hängt ab,haben
abhären,häre ab,härst ab,härt ab,härte ab,abgehärt,härte ab,häre ab,härt ab,haben
abhauen,haue ab,haust ab,haut ab,hieb ab,abgehauen,hiebe ab,hau ab,haut ab,haben
abhäuten,häute ab,häutest ab,häutet ab,häutete ab,abgehäutet,häutete ab,häute ab,häutet ab,haben
abheben,hebe ab,hebst ab,hebt ab,hob ab,abgehoben,höbe ab,heb ab,hebt ab,haben
abheften,hefte ab,heftest ab,heftet ab,heftete ab,abgeheftet,heftete ab,hefte ab,heftet ab,haben
abhelfen,helfe ab,hilfst ab,hilft ab,half ab,abgeholfen,hülfe ab,hilf ab,helft ab,haben
abherbeuteln,beutele abher,beutelst abher,beutelt abher,<small>(beutelte abher)</small>,abhergebeutelt,<small>(beutelte abher)</small>,beutele abher,beutelt abher,haben
abhersagen,sage abher,sagst abher,sagt abher,sagte abher,abhergesagt,sagte abher,sage abher,sagt abher,haben
abhetzen,hetze ab,hetzt ab,hetzt ab,hetzte ab,abgehetzt,hetzte ab,hetze ab,hetzt ab,haben
abhinfallen,falle abhin,fällst abhin,fällt abhin,fiel abhin,abhingefallen,fiele abhin,falle abhin,fallt abhin,sein
abhingehen,gehe abhin,gehst abhin,geht abhin,ging abhin,abhingegangen,ginge abhin,geh abhin,geht abhin,sein
abhinrutschen,rutsche abhin,rutschst abhin,rutscht abhin,rutschte abhin,abhingerutscht,rutschte abhin,rutsche abhin,rutscht abhin,sein
abhinschweiben,schweibe abhin,schweibst abhin,schweibt abhin,<small>(schweibte abhin)</small>,abhingeschweibt,<small>(schweibte abhin)</small>,schweibe abhin,schweibt abhin,haben
abhobeln,hobele ab,hobelst ab,hobelt ab,hobelte ab,abgehobelt,hobelte ab,hobele ab,hobelt ab,haben
abholen,hole ab,holst ab,holt ab,holte ab,abgeholt,holte ab,hole ab,holt ab,haben
abholzen,holze ab,holzt ab,holzt ab,holzte ab,abgeholzt,holzte ab,holze ab,holzt ab,haben
abhören,höre ab,hörst ab,hört ab,hörte ab,abgehört,hörte ab,hör ab,hört ab,haben
abhorreszieren,abhorresziere,abhorreszierst,abhorresziert,abhorreszierte,abhorresziert,abhorreszierte,abhorresziere,abhorresziert,haben
abhorrieren,abhorriere,abhorrierst,abhorriert,abhorrierte,abhorriert,abhorrierte,abhorriere,abhorriert,haben
abisolieren,isoliere ab,isolierst ab,isoliert ab,isolierte ab,abisoliert,isolierte ab,isolier ab,isoliert ab,haben
abjagen,jage ab,jagst ab,jagt ab,jagte ab,abgejagt,jagte ab,jag ab,jagt ab,haben
abjudizieren,abjudiziere,abjudizierst,abjudiziert,abjudizierte,abjudiziert,abjudizierte,abjudizier,abjudiziert,haben
abjurieren,abjuriere,abjurierst,abjuriert,abjurierte,abjuriert,abjurierte,abjurier,abjuriert,haben
abkacken,kacke ab,kackst ab,kackt ab,kackte ab,abgekackt,kackte ab,kack ab,kackt ab,haben
abkapiteln,kapitele ab,kapitelst ab,kapitelt ab,kapitelte ab,abkapitelt,kapitelte ab,kapitele ab,kapitelt ab,haben
abkapseln,kapsle ab,kapselst ab,kapselt ab,kapselte ab,abgekapselt,kapselte ab,kapsel ab,kapselt ab,haben
abkarten,karte ab,kartest ab,kartet ab,kartete ab,abgekartet,kartete ab,kart ab,kartet ab,haben
abkassieren,kassiere ab,kassierst ab,kassiert ab,kassierte ab,abkassiert,kassierte ab,kassier ab,kassiert ab,haben
abkaufen,kaufe ab,kaufst ab,kauft ab,kaufte ab,abgekauft,kaufte ab,kauf ab,kauft ab,haben
abkindern,kindere ab,kinderst ab,kindert ab,kinderte ab,abgekindert,kinderte ab,kindere ab,kindert ab,haben
abklappern,klappere ab,klapperst ab,klappert ab,klapperte ab,abgeklappert,klapperte ab,klappere ab,klappert ab,haben
abklatschen,klatsche ab,klatschst ab,klatscht ab,klatschte ab,abgeklatscht,klatschte ab,klatsch ab,klatscht ab,haben
abklemmen,klemme ab,klemmst ab,klemmt ab,klemmte ab,abgeklemmt,klemmte ab,klemm ab,klemmt ab,haben
abknallen,knalle ab,knallst ab,knallt ab,knallte ab,abgeknallt,knallte ab,knall ab,knallt ab,haben
abknicken,knicke ab,knickst ab,knickt ab,knickte ab,abgeknickt,knickte ab,knick ab,knickt ab,haben
abknöpfen,knöpfe ab,knöpfst ab,knöpft ab,knöpfte ab,abgeknöpft,knöpfte ab,knöpf ab,knöpft ab,haben
abknutschen,knutsche ab,knutschst ab,knutscht ab,knutschte ab,abgeknutscht,knutschte ab,knutsche ab,knutscht ab,haben
abkommandieren,kommandiere ab,kommandierst ab,kommandiert ab,kommandierte ab,abkommandiert,kommandierte ab,kommandiere ab,kommandiert ab,haben
abkommen,komme ab,kommst ab,kommt ab,kam ab,abgekommen,käme ab,komm ab,kommt ab,sein
abkönnen,kann ab,kannst ab,kann ab,konnte ab,abgekonnt,könnte ab,—,—,haben
abkonterfeien,konterfeie ab,konterfeist ab,konterfeit ab,konterfeite ab,abgekonterfeit,konterfeite ab,konterfei ab,konterfeit ab,haben
abkratzen,kratze ab,kratzt ab,kratzt ab,kratzte ab,abgekratzt,kratzte ab,kratz ab,kratzt ab,haben
abkrüppeln,krüppele ab,krüppelst ab,krüppelt ab,krüppelte ab,abgekrüppelt,krüppelte ab,krüppele ab,krüppelt ab,sein
abkühlen,kühle ab,kühlst ab,kühlt ab,kühlte ab,abgekühlt,kühlte ab,kühle ab,kühlt ab,haben
abkündigen,kündige ab,kündigst ab,kündigt ab,kündigte ab,abgekündigt,kündigte ab,kündige ab,kündigt ab,haben
abkupfern,kupfere ab,kupferst ab,kupfert ab,kupferte ab,abgekupfert,kupferte ab,kupfere ab,kupfert ab,haben
abkürzen,kürze ab,kürzt ab,kürzt ab,kürzte ab,abgekürzt,kürzte ab,kürz ab,kürzt ab,haben
abküssen,küsse ab,küsst ab,küsst ab,küsste ab,abgeküsst,küsste ab,küss ab,küsst ab,haben
abladen,lade ab,lädst ab,lädt ab,lud ab,abgeladen,lüde ab,lade ab,ladet ab,haben
ablaktieren,ablaktiere,ablaktierst,ablaktiert,ablaktierte,ablaktiert,ablaktierte,ablaktiere,ablaktiert,haben
ablassen,lasse ab,lässt ab,lässt ab,ließ ab,abgelassen,ließe ab,lass ab,lasst ab,haben
ablästern,lästere ab,lästerst ab,lästert ab,lästerte ab,abgelästert,lästerte ab,läster ab,lästert ab,haben
ablaufen,laufe ab,läufst ab,läuft ab,lief ab,abgelaufen,liefe ab,laufe ab,lauft ab,haben
ablegen,lege ab,legst ab,legt ab,legte ab,abgelegt,legte ab,lege ab,legt ab,haben
ablehnen,lehne ab,lehnst ab,lehnt ab,lehnte ab,abgelehnt,lehnte ab,lehne ab,lehnt ab,haben
ableiten,leite ab,leitest ab,leitet ab,leitete ab,abgeleitet,leitete ab,leite ab,leitet ab,haben
ablenken,lenke ab,lenkst ab,lenkt ab,lenkte ab,abgelenkt,lenkte ab,lenk ab,lenkt ab,haben
ablesen,lese ab,liest ab,liest ab,las ab,abgelesen,läse ab,lies ab,lest ab,haben
abliefern,liefere ab,lieferst ab,liefert ab,lieferte ab,abgeliefert,lieferte ab,liefer ab,liefert ab,haben
ablöschen,lösche ab,löschst ab,löscht ab,löschte ab,abgelöscht,löschte ab,lösch ab,löscht ab,haben
ablosen,lose ab,lost ab,lost ab,loste ab,abgelost,loste ab,los ab,lost ab,haben
ablösen,löse ab,löst ab,löst ab,löste ab,abgelöst,löste ab,löse ab,löst ab,haben
ablozieren,abloziere,ablozierst,abloziert,ablozierte,abloziert,ablozierte,abloziere,abloziert,haben
abmachen,mache ab,machst ab,macht ab,machte ab,abgemacht,machte ab,mache ab,macht ab,haben
abmagern,magere ab,magerst ab,magert ab,magerte ab,abgemagert,magerte ab,magere ab,magert ab,haben
abmahnen,mahne ab,mahnst ab,mahnt ab,mahnte ab,abgemahnt,mahnte ab,mahn ab,mahnt ab,haben
abmalen,male ab,malst ab,malt ab,malte ab,abgemalt,malte ab,mal ab,malt ab,haben
abmarschieren,marschiere ab,marschierst ab,marschiert ab,marschierte ab,abmarschiert,marschierte ab,marschier ab,marschiert ab,haben
abmelden,melde ab,meldest ab,meldet ab,meldete ab,abgemeldet,meldete ab,meld ab,meldet ab,haben
abmessen,messe ab,misst ab,misst ab,maß ab,abgemessen,mäße ab,miss ab,messt ab,haben
abmoderieren,moderiere ab,moderierst ab,moderiert ab,moderierte ab,abmoderiert,moderierte ab,moderiere ab,moderiert ab,haben
abmühen,mühe ab,mühst ab,müht ab,mühte ab,abgemüht,mühte ab,müh ab,müht ab,haben
abmurksen,murkse ab,murkst ab,murkst ab,murkste ab,abgemurkst,murkste ab,murkse ab,murkst ab,haben
abmustern,mustere ab,musterst ab,mustert ab,musterte ab,abgemustert,musterte ab,mustere ab,mustert ab,haben
abnabeln,nable ab,nabelst ab,nabelt ab,nabelte ab,abgenabelt,nabelte ab,nable ab,nabelt ab,haben
abnehmen,nehme ab,nimmst ab,nimmt ab,nahm ab,abgenommen,nähme ab,nimm ab,nehmt ab,haben
abnibbeln,nibble ab,nibbelst ab,nibbelt ab,nibbelte ab,abgenibbelt,nibbelte ab,nibble ab,nibbelt ab,sein
abnicken,nicke ab,nickst ab,nickt ab,nickte ab,abgenickt,nickte ab,nick ab,nickt ab,haben
abnippeln,nippele ab,nippelst ab,nippelt ab,nippelte ab,abgenippelt,nippelte ab,nipple ab,nippelt ab,sein
abnudeln,nudele ab,nudelst ab,nudelt ab,nudelte ab,abgenudelt,nudelte ab,nudele ab,nudelt ab,haben
abnutzen,nutze ab,nutzt ab,nutzt ab,nutzte ab,abgenutzt,nutzte ab,nutz ab,nutzt ab,haben
abnützen,nütze ab,nützt ab,nützt ab,nützte ab,abgenützt,nützte ab,nütze ab,nützt ab,haben
abolieren,aboliere,abolierst,aboliert,abolierte,aboliert,abolierte,aboliere,aboliert,haben
abonnieren,abonniere,abonnierst,abonniert,abonnierte,abonniert,abonnierte,abonniere,abonniert,haben
abortieren,abortiere,abortierst,abortiert,abortierte,abortiert,abortierte,abortiere,abortiert,haben
abpacken,packe ab,packst ab,packt ab,packte ab,abgepackt,packte ab,pack ab,packt ab,haben
